message,priority,word_count,response_time_hours,customer_rating,department
"Major incident. Hey, the API gateway is completely down and the finance team cannot work at all. Please action right away. The whole company is affected. Appreciate it.",critical,28,,,engineering
Small  suggestion.  Is  there any chance we could look at the notice board eventually? Low priority I imagine. Appreciate it.,low,20,34.4,,support
"OUTAGE - the warehouse scanners. Hi, Customer data on the warehouse scanners appears to have been exposed. This is urgent. This affects every branch. Raising this formally. Logged this at 10:49 today. Thanks in advance.!!!!!!!",critical,35,3.5,,hr
"the payment gateway acting up. Morning, A few people in our EU users have mentioned the payment gateway being awkward. This affects every branch. Ticket reference REF-31837. Many thanks.",medium,29,46.0,,hr
"Repeated failures. Hi all, the CRM is rejecting valid requests and the support desk has no workaround! Let me know if you need more detail.",high,25,6.4,4,support
"  the login page acting up. Hi team, the login page threw an error once this morning but recovered. This has to be done today. Whenever you get a chance. Let me know.   ",medium,32,28.8,2,hr
"  Please take a look. Hi all, the login page threw an error once this morning but recovered. Thank you.   ",medium,19,22.1,,support
"Repeated failures. Hello, the support desk is blocked because the HR system keeps timing out. All users are hitting this. Appreciate it.",high,22,8.0,,support
Repeated failures. We have lost access to the payment gateway and everyone is stuck. This is time critical. This is affecting all customers. Thanks in advance.,high,26,,,
"Question about the customer portal. Good morning, the customer portal is running slower than usual for the support desk. Thanks.",medium,20,44.1,1,hr
"Issue report. Morning, the support desk would like an update on the the backup job issue from last week. Happy to give more information. Thanks in advance.",medium,27,30.4,,support
"  the HR system not working. Hi all, the HR system is failing repeatedly and all customers cannot complete their work! Needs resolving within the hour. Ticket reference REF-31829. Thanks.   ",high,,1.7,,support
"the booking system not working. Good morning, the onboarding team is blocked because the booking system keeps timing out. Whenever you get a chance. Logged this at 17:34 today. Cheers.",high,30,1.1,2,engineering
"When you get a chance. Hi, Small suggestion about the coffee machine for whenever you get to it. No hurry. Ticket reference REF-60829.",low,23,28.8,,engineering
"  Slow performance. Hey, A few people in all customers have mentioned the API gateway being awkward. Many thanks.   ",medium,18,20.5,,operations
"Small suggestion. Hi, Just noticed the office plant rota looks a bit out of date. Needs resolving within the hour. Only if you have time. Happy to give more information. Cheers.",low,31,21.5,,sales
"  Emergency. Hi team, We have a full outage on the API gateway affecting the night shift! This affects every branch. This has to be done today. It might just be me. Regards.   ",critical,32,,,support
"Blocked - the API gateway. Good morning, the API gateway is rejecting valid requests and the night shift has no workaround. This is affecting all customers. Appreciate it.",,28,2.8,,
"Low priority note. Hi team, Would be nice to tidy up the font on the intranet when there is time. I have restarted my machine already.",low,26,67.1,,sales
"Slow performance. Morning, everyone would like an update on the the backup job issue from last week. Sorry to bother you with this. Many thanks.",medium,25,,,support
"Small suggestion. Hi team, Could someone update the office plant rota at some point? We need this fixed by end of day. Thanks.",low,23,68.2,,engineering
"  Please take a look. Morning, the finance team would like an update on the the email server issue from last week. No rush at all. Happy to give more information.   ",medium,30,43.3,,engineering
"Slow performance. <b>Team,</b> the reporting database is running slower than usual for the night shift. Please treat as top priority. Needs resolving within the hour. Thanks in advance.",medium,,31.2,,engineering
,critical,33,2.6,3,finance
"Question about the checkout page. Good morning, the sales team would like an update on the the checkout page issue from last week. Needs looking at immediately. It might just be me. Let me know if you need more detail. Appreciate it.!!!!!!!",medium,42,10.7,,support
"Slow performance. Hi all, the finance team would like an update on the the booking system issue from last week. This is affecting all customers. Regards.",medium,26,25.9,4,support
"Please take a look. Hi, Could someone check the HR system? everyone reported something odd. Raising this formally. Logged this at 11:33 today. Thank you.",medium,,33.8,,operations
,high,29,2.9,,finance
"  Minor thing. Hi team, No action needed right now, just noting my desk chair. Whenever you get a chance. Ticket reference REF-82591.   ",low,22,90.7,5,engineering
"Question about <b>the</b> API gateway. Morning, the API gateway threw an error once this morning but RECOVERED. Let me know.",medium,20,37.8,,engineering
"Small suggestion. Hi all, Would be nice to tidy up the font on the intranet when there is time. This is time critical. It might just be me. Thanks in advance.",low,31,32.4,5,hr
"Major incident. Hello, We have a full outage on the booking system affecting everyone. Please action right away. This affects every branch. LET me know if you need more detail.",critical,30,2.1,,support
"Issue report. Hi team, Could someone check the CRM? everyone reported something odd. No rush at all. Could be nothing. Let me know if you need more detail.",medium,28,9.7,3,hr
"  Emergency. Hey, We have a full outage on the mobile app affecting the onboarding team! Please action right away. The whole company is affected. This has to be done today. I can send a screenshot if that helps. Thanks in advance.   ",critical,41,,,finance
Blocked - the warehouse scanners. We have lost access to the warehouse scanners and the whole office is stuck. This is time critical. Everyone is impacted. I have restarted my machine already.,high,32,5.4,,engineering
"the checkout page not working. Hey, Errors on the checkout page are now stopping the night shift from processing anything. Please action right away. Needs resolving within the hour. Raising this formally. Thank you.",high,34,,2,support
"Idea for later. Hello, Small suggestion about the meeting room projector for whenever you get to it. The whole company is affected. Low priority I imagine.",low,26,50.3,3,support
"Question  about  the  login page. Team, Could someone check the login page? our EU users reported something odd. Ticket reference REF-73669. Many thanks.",medium,23,19.5,5,engineering
"Small suggestion. Hi all, Small suggestion about the font on the intranet for whenever you get to it. Low priority I imagine. Cheers.",low,23,90.6,2,support
"Slow performance. Good morning, Could someone check the CRM? all customers reported something odd. This has to be done today. Not totally sure. Logged this at 16:21 today. Regards.",medium,29,21.7,,engineering
"  the checkout page acting up. Morning, the checkout page is running slower than usual for everyone. Thanks.   ",medium,17,20.4,,support
"Repeated failures. Hi team, the CHECKOUT page is failing repeatedly and the warehouse cannot complete their work! I think, anyway. Many thanks.",high,22,,3,support
"Idea for later. Hi team, Is there any chance we could look at the font on the intranet eventually? Only if you have time. Let me know if you need more detail. Thanks.",low,33,,3,finance
Need help with the CRM. the CRM has been unavailable for over an hour and the warehouse is affected. Thanks in advance.,,22,6.7,1,support
"the CRM problem. Team, the CRM is rejecting valid requests and the whole office has no workaround. This is time critical. Let me know.",high,24,9.4,3,finance
"  Issue report. Hey, the invoice tool is running slower than usual for the onboarding team. Low priority I imagine.   ",medium,19,38.1,4,
Issue report. A few people in the night shift have mentioned the payment gateway being awkward. Regards.,medium,17,45.4,,operations
"Low priority note. Team, Small suggestion about a typo on the about page for whenever you get to it. Not totally sure. Appreciate it.",low,24,,3,support
"the  booking  system  problem. Hi all, We have lost access to the booking system and our EU users is stuck! This is affecting all customers. Only if you have time. Low priority I imagine.",high,34,1.4,1,support
"the  VPN  not  working. Hello, Errors on the VPN are now stopping the warehouse from processing anything. Needs resolving within the hour. Raising this formally. Regards.",high,26,11.1,,engineering
Slow performance. A few people in the support desk have mentioned the backup job being awkward. Thanks in advance.!!!!!!!,,19,30.1,,operations
Minor thing. Is there any chance we could look at a typo on the about page eventually? Only if you have time. I have restarted my machine already. Thanks in advance.,low,31,26.7,,support
"Blocked - the HR system. Hello, Errors on the HR system are now stopping the support desk from processing anything! All users are hitting this. Let me know.",high,28,6.8,,engineering
"Emergency. Hi team, We have a full outage on the booking system affecting the finance team! WE need this ASAP. All users are hitting this. This has to be done today. I have flagged this to my manager. Cheers.",critical,39,0.2,,support
  Slow performance. the invoice tool is running slower than usual for the night shift. Please action right away. We need this fixed by end of day. Happy to give more information. Appreciate it.   ,medium,33,34.8,5,support
"Low priority <b>note.</b> Team, Just noticed the staff photo page looks a bit out of date. Low priority I imagine. Let me know.",low,23,77.2,2,operations
"  Small suggestion. Good morning, Would be nice to tidy up the notice board when there is time. Regards.   ",low,18,24.4,3,support
"  Blocked - the mobile app. Good morning, We have lost access to the mobile app and the whole office is stuck! We need this ASAP. Many thanks.   ",high,27,10.1,,hr
Need help with the HR system. the HR system is failing repeatedly and all customers cannot complete their work! This affects every branch. We need this fixed by end of day. Appreciate it.,high,,11.7,,engineering
,critical,32,0.3,,
"Low priority note. Hi all, Could someone update my desk chair at some point? Whenever you get a chance. Regards.",low,,24.8,3,engineering
Please  take  a  look. We are seeing occasional timeouts on the VPN. Let me know.,medium,15,16.4,,support
"Slow performance. Good morning, the checkout page threw an error once this morning but recovered. Please treat as top priority. Only if you have time.",medium,25,11.6,3,support
"the backup job acting up. Morning, A few people in the night shift have mentioned the backup job being awkward. Sorry to bother you with this. Let me know.",medium,29,19.8,,support
"Slow performance. Morning, the VPN is running slower than usual for the sales team. We need this ASAP. Cheers.",medium,19,,,engineering
Need  help  with  the API gateway. Errors on the API gateway are now stopping everyone from processing anything. Needs looking at immediately. Deadline is tonight. No rush at all. I can send a screenshot if that helps. Thanks in advance.,high,40,10.3,,support
"  Need help with the warehouse scanners. Hi team, the warehouse scanners is rejecting valid requests and all customers has no workaround! This affects every branch. No rush at all. Appreciate it.   ",high,31,3.7,,engineering
"the booking <b>system</b> problem. HI, the booking system is rejecting valid requests and the warehouse has no workaround. This is time critical. This affects every branch. Happy to give more information. Regards.",high,32,,,sales
"Small suggestion. Hi all, Could someone update my desk chair at some point? I have restarted my machine already. Appreciate it.",low,21,34.8,,sales
"the login page acting up. Hello, the whole office would like an update on the the login page issue from last week. This is time critical. Deadline is tonight. Low priority I imagine. I have restarted my machine already. Thanks.",medium,40,11.2,,engineering
"Minor  thing.  Team,  Would be nice to tidy up my desk chair when there is time. Thanks in advance.",low,19,52.1,,support
"Small suggestion. Hi, Could someone update the parking spreadsheet at some point? Low priority I imagine. It might just be me. Ticket reference REF-88001. Thanks in advance.",low,27,91.7,,sales
"  Blocked - the booking system. Hello, the night shift is blocked because the booking system keeps timing out! All users are hitting this. Deadline is tonight. Let me know.   ",medium,29,4.0,,support
"When you <b>get</b> a chance. Team, Is there any chance we could look at the staff photo page eventually? No rush at all. I have restarted my machine already.",low,29,,,engineering
"When  you  get  a chance. Team, Just noticed a typo on the about page looks a bit out of date. No hurry. Many thanks.",low,24,,,operations
"Minor thing. Hey, Would be nice to tidy up a typo on the about page when there is time. Thanks in advance.!!!!!!!",low,22,45.0,5,support
"Blocked - the HR system. Team, Errors on the HR system are now stopping the support desk from processing anything. We need this ASAP. Everyone is impacted. Escalating to the director. Logged this at 12:12 today. Many thanks.",high,38,10.7,,finance
"  Idea for later. No action needed right now, just noting the notice board. Low priority I imagine. NEEDS LOOKING AT IMMEDIATELY. !!!   ",low,22,51.1,,engineering
"Please take a look. Team, A few people in the support desk have mentioned the VPN being awkward. No hurry. Regards.",medium,21,39.1,,hr
"Issue report. Hi all, A few people in the night shift have mentioned the API gateway being awkward. Appreciate it.",medium,20,19.4,,support
"Low priority note. Good morning, Could someone update the coffee machine at some point? Thanks.",medium,15,54.6,4,hr
"Blocked - the API gateway. Morning, Errors on the API gateway are now stopping the whole office from processing anything! We need this fixed by end of day. I can send a screenshot if that helps. Appreciate it.",high,38,6.5,,engineering
"Repeated  failures.  Hi  all, the mobile app is rejecting valid requests and the support desk has no workaround. This is urgent. Ticket reference REF-91099. Regards.",high,25,10.3,,sales
Blocked - the payment gateway. Errors on the payment gateway are now stopping the finance team from processing anything! Please treat as top priority. This has to be done today. Low priority I imagine. Thanks.,high,,6.4,,engineering
"Slow performance. Hi, the VPN threw an error once this morning but recovered. Let me know.",medium,16,9.5,,finance
URGENT: the checkout page down. We have a full outage on the checkout page affecting our EU users. We need this ASAP. Cheers.,critical,23,2.9,,hr
"Idea for later. Hi, Just noticed the staff photo page looks a bit out of date. Whenever you get a chance.",low,21,43.4,,support
"Question about the CRM. Hey, the CRM is running slower than usual for the onboarding team.",medium,16,,,support
Blocked - <b>the</b> booking system. We have lost access to the booking system and the warehouse is stuck! This affects every branch. I have flagged this to my manager. Logged this at 10:52 today. Regards.,,,1.5,1,support
"Repeated failures. Team, Errors on the reporting database are now stopping all customers from processing anything. Raising this formally. Happy to give more information. Cheers.",high,25,9.5,,
"Issue report. Morning, the mobile app is running slower than usual for the finance team. Please treat as top priority. This has to be done today. Low priority I imagine. Cheers.",medium,31,39.4,,engineering
"Emergency. Hello, Customer data on the warehouse scanners appears to have been exposed! We need this ASAP. This is affecting all customers. Deadline is tonight. Appreciate it. No hurry.",critical,29,3.6,,engineering
"Issue report. HEY, the checkout page is running slower than usual for everyone. I have restarted my machine already. Thank you.",medium,21,28.0,3,support
"the email server not working. Hi all, the email server has been unavailable for over an hour and our EU users is affected. Please action right away. Logged this at 17:41 today. Cheers.",high,33,6.4,,engineering
"Slow performance. Good morning, the checkout page is running slower than usual for the onboarding team. This has to be done today. Cheers.",medium,23,45.7,,engineering
OUTAGE - the payment gateway. the payment gateway has been wiped and the backups are failing as well. Please treat as top PRIORITY. The whole company is affected. Please escalate this. Let me know.,critical,34,1.8,,engineering
"the login page acting up. Team, We are seeing occasional timeouts on the login page. Appreciate it.",medium,17,39.5,,engineering
"Major incident. Hi, the CRM is offline company-wide and nothing is going through! Needs looking at IMMEDIATELY. Please escalate this. I have restarted my machine already. Many thanks.",critical,28,2.9,1,hr
"Question about the reporting database. Hi team, the warehouse would like an update on the the reporting database issue from last week. This affects every branch. Thanks.",,27,32.4,,support
When you <b>get</b> a chance. Small suggestion about the font on the intranet for whenever you get to it. Sorry to bother you with this. I can send a screenshot if that helps. Thanks.,low,34,72.7,,support
"Need  help  with  the backup job. Hello, the backup job is rejecting valid requests and the whole office has no workaround! Please treat as top priority. The whole company is affected. Please escalate this. It might just be me. Thank you. No hurry.",high,43,10.0,4,operations
"Issue report. Hi team, We are seeing occasional timeouts on the checkout page! Let me know if you need more detail. Regards.",medium,22,9.7,,sales
"Please take a look. Hi team, We are seeing occasional timeouts on the email server. Everyone is impacted. I think, anyway. Logged this at 11:55 today.",medium,26,44.6,4,support
"the customer <b>portal</b> acting up. Morning, Could someone check the customer portal? the night shift reported something odd. Deadline is tonight. I think, anyway. Thanks in advance.",medium,27,,,
"Repeated failures. Hi team, We have lost access to the print server and the night shift is stuck. Everyone is impacted. This has to be done today. Thanks.!!!!!!!",high,28,9.8,5,engineering
"Small suggestion. Hi team, Small suggestion about the office plant rota for whenever you get to it. Whenever you get a chance. Appreciate it.",,24,49.5,2,hr
"When you get a chance. Hey, Could someone update the staff photo page at some point? Low priority I imagine. Ticket reference REF-12049. Let me know.",low,26,59.2,,support
"Question about <b>the</b> login page. Good morning, We are seeing occasional timeouts on the login page. Please treat as top priority. I have restarted my machine already. Thanks.",medium,28,30.5,4,support
"OUTAGE - the booking system. Hi, the booking system has been wiped and the backups are failing as well. This is time critical. Ticket reference REF-27801. Cheers. Whenever you get a chance.",critical,32,3.8,2,support
"the backup job acting up. Hi team, We are seeing occasional timeouts on the backup job. Whenever you get a chance. Thank you.",medium,23,31.1,,support
"Issue report. Good morning, the reporting database is running slower than usual for the onboarding team. Only if you have time. I think, anyway. Logged this at 16:42 today. Appreciate it.",medium,31,12.2,4,support
"Question about <b>the</b> API gateway. Hello, the whole office would like an update on the the API gateway issue from last week. Many thanks.",medium,24,32.8,2,support
"the VPN acting up. Team, Could someone check the VPN? the support desk reported something odd. This has to be done today. It might just be me. Thanks.",medium,28,12.0,4,support
"Please take a look. Team, Could someone check the checkout page? the warehouse reported something odd. Appreciate it. NEEDS LOOKING AT IMMEDIATELY. !!!",medium,23,19.4,4,engineering
"Slow performance. Team, the HR system threw an error once this morning but recovered. I can send a screenshot if that helps. Appreciate it.",medium,24,22.9,,support
"When you get a chance. Good morning, Would be nice to tidy up the office plant rota when there is time. No hurry. Let me know.",low,26,91.9,,sales
"OUTAGE - the login page. Morning, the login page is completely down and the night SHIFT cannot work at all! Everyone is impacted. I have flagged this to my manager. Thanks in advance.",critical,33,0.7,,support
"the payment gateway FULL OUTAGE. Hi team, Customer data on the payment gateway appears to have been exposed! This is time critical. I can send a screenshot if that helps. Let me know.",critical,33,2.1,3,
"Please take a look. Team, We are seeing occasional timeouts on the HR system! Please treat as top priority. All users are hitting this. Low priority I imagine. I have restarted my machine already. Let me know.",medium,37,46.6,,support
"Low  priority  note.  Team, Small suggestion about the office plant rota for whenever you get to it. No hurry. Logged this at 14:31 today. Cheers.",low,25,,,support
"Low priority note. Team, Would be nice to tidy up the coffee machine when there is time. Whenever you get a chance. Logged this at 10:20 today. Appreciate it.",low,29,72.2,,support
the VPN acting up. We are seeing occasional timeouts on the VPN! Needs resolving within the hour. Appreciate it.,medium,19,30.5,,operations
"Slow performance. Hello, the booking system is running slower than usual for everyone. This is urgent. Many thanks.",medium,,20.6,,sales
"Question about the HR system. Hi, Could someone check the HR system? everyone reported something odd. It might just be me. Happy to give more information. Many thanks.",medium,28,30.2,,support
"Idea for <b>later.</b> Hey, Small suggestion about a typo on the about page for whenever you get to it. Thanks in advance. PLEASE TREAT AS TOP PRIORITY. !!!",low,,35.3,,engineering
"Emergency. Hey, the payment gateway has stopped PROCESSING and we are losing data. Needs looking at immediately. This is affecting all customers. This has to be done today. I have flagged this to my manager. Thanks in advance.",critical,,2.9,3,support
"the VPN acting up. Team, A few people in the night shift have mentioned the VPN being awkward. Whenever you get a chance. Many thanks.",medium,25,37.5,,operations
Slow performance. the mobile app threw an error once this morning but recovered. Sorry to bother you with this. Could be nothing. Regards.,high,23,18.7,,operations
"Slow performance. Good morning, the print server threw an error once this morning but recovered. Not totally sure. I have restarted my machine already. Appreciate it. NEEDS LOOKING AT IMMEDIATELY. !!!",low,31,46.4,,support
the email server FULL OUTAGE. the email server is offline company-wide and nothing is going through. Please action right away. All users are hitting this. We need this fixed by end of day. Raising this formally. Happy to give more information. Thank you.,critical,43,0.5,,sales
"the  customer  portal  not working. Hi team, the customer portal is failing repeatedly and the whole office cannot complete their work. Please treat as top priority. All users are hitting this. Not totally sure. Thanks.",high,35,11.1,,support
"Issue report. Team, Could someone check the payment gateway? the warehouse reported something odd. Please treat as top priority. All users are hitting this. Let me know.",medium,27,42.1,,operations
"Please take a look. Hi all, the warehouse scanners is running slower than usual for everyone. Happy to give more information. Appreciate it.",medium,,10.3,,finance
"Need help with the payment gateway. Morning, the payment gateway has been unavailable for over an hour and all customers is affected! Please treat as top priority. This is affecting all customers. Cheers.",high,33,4.6,4,support
"Blocked - the print server. Hi, the print server has been unavailable for over an hour and the finance team is affected! Escalating to the director. I think, anyway. Many thanks. Whenever you get a chance.",high,,4.4,4,support
Please take a look. the invoice tool threw an error once this morning but recovered. Needs looking at immediately. Let me know if you need more detail. Regards.,medium,28,21.6,2,hr
"Please take a look. Hi all, the mobile app is running slower than usual for the onboarding team. Only if you have time. I can send a screenshot if that helps. Appreciate it.",medium,33,21.5,,finance
"Need help with the checkout page. Good morning, the checkout page is failing repeatedly and the sales team cannot complete their work. It might just be me. Appreciate it.",high,29,3.6,,operations
"  Please take a look. Hello, A few people in the onboarding team have mentioned the backup job being awkward. Escalating to the director. Sorry to bother you with this. Regards.   ",medium,30,35.8,3,operations
"Idea for later. Morning, Small suggestion about the staff photo page for whenever you get to it!",low,17,62.1,,support
"Repeated failures. <b>Morning,</b> We have lost access to the reporting database and the finance team is stuck. We need this ASAP. Ticket reference REF-20337. Thank you.",high,26,7.8,,finance
"the print server not working. Team, the support desk is blocked because the print server KEEPS timing out. It might just be me. Many thanks.",high,25,8.9,,engineering
"Question about the mobile app. Hey, We are seeing occasional timeouts on the mobile app. Please treat as top priority. Only IF you have time. Could be nothing. Many thanks.",medium,30,8.4,,support
,high,29,9.5,,sales
"the  login  page  problem. Good morning, the login page has been unavailable for over an hour and the onboarding team is affected. This is time critical. This is affecting all customers. Appreciate it.",high,33,8.0,3,hr
"Repeated failures. Hi team, the VPN is failing repeatedly and the finance team cannot complete their work! Everyone is impacted. This has to be done today. Let me know if you need more detail. Thanks in advance.",high,37,6.4,,support
"Issue report. Hi, Could someone check the mobile app? the whole office reported something odd. Logged this at 17:19 today.",medium,20,,1,hr
"Question about the CRM. Hello, Could someone check the CRM? all customers reported something odd. Whenever you get a chance. Thanks in advance.",medium,23,34.5,3,support
"  Small suggestion. Morning, Is there any chance we could look at the staff photo page eventually? Please action right away. We need this fixed by end of day. Thanks in advance.   ",low,31,51.1,2,support
Need help with the CRM. Errors on the CRM are now stopping the whole office from processing anything. This is affecting all customers. Needs resolving within the hour. Regards.,high,29,5.8,5,operations
"Blocked  -  the  print server. Hello, the night shift is blocked because the print server keeps TIMING out. No hurry.",high,20,6.0,,support
"Please  take  a  look. Hey, the support desk would like an update on the the login page issue from last week. This is urgent. The whole company is affected. No rush at all.",low,33,27.4,3,support
"  Idea for later. Team, Could someone update my desk chair at some point? Low priority I imagine. Many thanks.   ",low,19,91.4,5,support
"Idea for later. Morning, Could someone update the coffee machine at some point? Whenever you get a chance. Appreciate it. NEEDS LOOKING AT IMMEDIATELY. !!!",low,25,46.7,1,
"Minor thing. No action needed right now, just noting the coffee machine. No rush at all. Ticket reference REF-50375.",low,19,65.8,,engineering
"Question about the print server. Team, the print server threw an error once this morning but recovered. This has to be done today. I have restarted my machine already. Thank you.",medium,31,30.0,,sales
"When you get a chance. Hi team, No action needed right now, just noting the office plant rota! Let me know.",low,21,23.6,,finance
"Slow performance. Hey, the payment gateway threw an error once this morning but recovered. I can send a screenshot if that helps. Appreciate it. THIS IS TIME CRITICAL. !!!",medium,29,43.6,,support
"Slow performance. Hello, the VPN threw an error once this morning but recovered. All users are hitting this. We need this fixed by end of day. No hurry. Thank you.",medium,30,21.7,,finance
"Slow performance. Team, the VPN is running slower than usual FOR all customers. Thanks in advance.",medium,,13.8,,finance
"Issue report. Good morning, Could someone check the mobile app? the onboarding team reported something odd. I think, anyway. Cheers. PLEASE TREAT AS TOP PRIORITY. !!!",medium,26,23.1,3,hr
"OUTAGE - the API gateway. Good morning, the API gateway has been wiped and the backups are failing as well. This is time critical. The whole company is affected. This has to be done today. Thank you.",critical,37,3.7,,support
"OUTAGE - the print server. Hello, the print server has stopped processing and we are losing data! Everyone is impacted. I have flagged this to my manager. Thanks in advance.",critical,30,0.8,,hr
Need help <b>with</b> the CRM. the CRM has been unavailable for over an hour and all customers is affected. It might just be me. Let me know. Sorry to bother you with this.,,33,6.7,,sales
Issue report. A few people in the sales team have mentioned the email server being awkward. Not totally sure. Cheers.,medium,20,25.7,,finance
"  Small suggestion. Hey, Just noticed the notice board looks a bit out of date. Whenever you get a chance. It might just be me. Logged this at 14:31 today. Many thanks.   ",low,,33.6,,operations
"  the booking system problem. Team, the booking system has been unavailable for over an hour and the warehouse is affected! The whole company is affected. Needs resolving within the hour. I have restarted my machine already. Regards.   ",high,37,5.4,,hr
Minor  thing.  Would  be nice to tidy up the parking spreadsheet when there is time. This has to be done today. Low priority I imagine. Regards.,low,26,34.0,,operations
"Blocked - the backup job. Hello, the backup job is failing repeatedly and the onboarding team cannot complete their work. The whole company is affected. Regards.",high,26,,,support
"When you get a chance. Good morning, Is there any chance we could look at the office plant rota eventually? Only if you have time. Many thanks.!!!!!!!",medium,27,92.5,3,support
"  Small suggestion. Hello, No action needed right now, just noting a typo on the about page. No hurry. Let me know if you need more detail. Let me know.   ",low,29,,,engineering
"Question about the checkout page. Hi all, Could someone check the checkout page? the sales team reported something odd! Thank you.",medium,,31.5,,engineering
"Major incident. Morning, the print server has stopped processing and we are losing data! This is urgent. All users are hitting this. Happy to give more information. Thank you. Sorry to bother you with this.",critical,35,1.0,,support
"Low priority note. Morning, Just noticed the coffee machine looks a bit out of date. No rush at all. Thank you.",low,21,18.1,,support
"Minor thing. Team, Would be nice to tidy up the notice board when there is time. Appreciate it.!!!!!!!",low,18,,,support
"Blocked - the backup job. Team, the backup job has been unavailable for over an hour and all customers is affected! This has to be done today. I can send a screenshot if that helps. Thanks in advance.",high,38,4.4,,engineering
"Idea for later. Morning, Is there any chance we could look at the parking spreadsheet eventually? No hurry. Appreciate it.",low,20,39.8,,engineering
"the  mobile  app  problem. Hello, Errors on the mobile app are now stopping the sales team from processing anything. Please treat as top priority. Let me know if you need more detail. Regards.",high,33,1.0,,hr
"Slow performance. Morning, the booking system threw an error once this morning but recovered. Thanks.",medium,,17.8,4,sales
"OUTAGE - the CRM. Hi all, the CRM has stopped processing and we are losing data! The whole company is affected. Deadline is tonight. Many thanks.",critical,26,2.6,,hr
"Question about <b>the</b> booking system. Hey, the booking system threw an error once this morning but recovered. Let me know if you need more detail. Many thanks.",high,,,4,sales
"the checkout page acting up. Hi, We are seeing occasional timeouts on the checkout page. Only if you have time. Many thanks.",medium,22,14.5,,support
"  Minor thing. Morning, Could someone update the font on the intranet at some point? It might just be me. Let me know.   ",low,22,24.1,,engineering
"Issue report. Morning, the mobile app is running slower than usual for the support desk. I can send a screenshot if that helps. Cheers. THIS IS URGENT. !!!",medium,28,22.4,,support
"Repeated failures. Hey, We have lost access to the payment gateway and the night shift is stuck. We need this fixed by end OF day. I have flagged this to my manager. Logged this at 15:45 today. Many thanks.",high,39,8.9,2,operations
"Slow performance. <b>Morning,</b> the CRM threw an error once this morning but recovered. Could be nothing. Regards.",low,17,16.0,,engineering
"Ple<b>a</b>se take a look. Morning, all customers would like an update on the the API gateway issue from last week! I can send a screenshot if that helps. Appreciate it.",medium,30,29.4,4,finance
"Minor thing. Morning, No action needed right now, just noting the parking spreadsheet. This affects every branch. Only if you have time. It might just be me. Regards.",low,28,18.5,,engineering
"Low priority note. Hey, No action needed right now, just noting the coffee machine. Happy to give more information. Thanks.",low,20,60.9,,finance
"Idea for later. Hi all, Just noticed the office plant rota looks a bit out of date. Sorry to bother you with this. Thanks.",low,24,28.5,4,support
"Idea for later. Good morning, Is there any chance we could look at the staff photo page eventually? No rush at all. Regards.",low,23,53.1,,finance
"Minor thing. Hi all, Would be nice to tidy up a typo on the about page when there is time. Let me know if you need more detail. Thanks in advance.",low,31,,,sales
"When you get a chance. Hi all, Just noticed the notice board looks a bit out of date. No hurry. Let me know.",low,23,21.1,,sales
"the warehouse scanners acting up. Hello, Could someone check the warehouse scanners? our EU users reported something odd. No hurry. Ticket reference REF-98043. Thanks.",medium,24,24.1,,operations
"  Small suggestion. Hi, Is there any chance we could look at the staff photo page eventually? Low priority I imagine. Many thanks.   ",low,22,45.5,,finance
"Repeated failures. Hi team, Errors on the print server are now stopping the support desk from processing anything. Needs looking at immediately. This has to be done today. Sorry to bother you with this. Let me know if you need more detail. Let me know.",high,,,,
"Slow performance. Hi team, everyone would like an update on the the email server issue from last week. I have restarted my machine already. Let me know.",medium,27,15.0,,sales
"Idea  for  later.  Hi team, Could someone update the staff photo page at some point? No hurry. Happy to give more information. Cheers.",low,23,28.7,,engineering
"Need help with the payment gateway. Hello, the payment gateway has been unavailable for over an hour and our EU users is affected. Please action right away. This is affecting all customers. We need this fixed by end of day.",high,40,6.1,,engineering
"the print server problem. Morning, the warehouse is blocked because the print server keeps timing out. Please action right away. Thanks.",high,21,1.1,,engineering
"the API gateway not working. Morning, Errors on the API gateway are now stopping our EU users from processing anything. Please action right away. All users are hitting this. Regards.",medium,30,1.0,,finance
"Low priority note. Hi all, Would be nice to tidy up the notice board when there is time. Happy to give more information. Thanks.",low,24,29.4,,engineering
Major incident. Customer data on the warehouse scanners appears to have been exposed! Everyone is impacted. Deadline is tonight. Only if you have time.,critical,24,3.9,4,hr
  OUTAGE - the print server. the print server HAS been wiped and the backups are failing as well! Please treat as top priority.   ,critical,,0.3,,engineering
"Please take a look. Hello, We are seeing occasional timeouts on the reporting database. Sorry to bother you with this. I can send a screenshot if that helps. Cheers.",low,29,43.1,,engineering
"Low priority note. Team, Small suggestion about the meeting room projector for whenever you get to it. Only if you have time. Happy to give more information. Let me know. THIS IS TIME CRITICAL. !!!",low,35,47.1,,finance
"Small suggestion. Team, No action needed right now, just noting the office plant rota. Low priority I imagine. Thanks in advance.",low,21,78.4,,support
"Question  about  the  checkout page. Hi team, the checkout page is running slower than usual for the night shift. Thanks in advance.",medium,22,20.4,2,hr
"Small suggestion. <b>Hi</b> team, Is there any chance we could look at the staff photo page eventually? Whenever you get a chance. Many thanks.",medium,24,30.5,,hr
"Please take a look. Hi, the whole office would like an update on the the backup job issue from last week. Many thanks.",medium,23,11.2,,sales
"Minor thing. Good morning, Could someone update the notice board at some point? Let me know.",low,16,68.5,,operations
,high,33,6.5,5,
